C,MC,SCP_UID,date,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,REP,FAI,GNDVI,NDVI-B8A,VB-FAH,SEI,SABI
Sf,S,20191002_150438490429_531,20190304,0.1198,0.0636,0.101,0.0839,0.1816,0.2343,0.2478,0.323,0.2626,0.2125,0.0877,0.0573,0.58761364,703.67456,0.23838942,0.5235849,0.5157287,0.2324994,0.57292426,1.4526123
Sf,S,20191002_150438490429_531,20190304,0.1115,0.0642,0.092,0.0794,0.1631,0.2068,0.2166,0.2656,0.2242,0.185,0.077,0.053,0.5397101,703.5712,0.18664879,0.48545858,0.4769433,0.18133639,0.5504962,1.1920614
Sf,S,20191002_150539479292_811,20190304,0.0531,0.048,0.0596,0.0544,0.0592,0.0569,0.0652,0.0931,0.0613,0.046,0.0469,0.0409,0.26237285,705.1809,0.040102497,0.2193844,0.059636973,0.0366928,0.32999998,0.35966536
Sf,S,20191002_150628829003_991,20190304,0.0991,0.0625,0.0818,0.068,0.0939,0.0914,0.0973,0.1422,0.0971,0.1561,0.0731,0.0545,0.3529971,702.87506,0.07324629,0.26964283,0.17625676,0.06887319,0.3209475,0.51420647
Sf,S,20191002_150628829003_991,20190304,0.1049,0.0665,0.0843,0.0695,0.102,0.0998,0.1114,0.1406,0.1007,0.1664,0.075,0.0568,0.33841026,702.99677,0.070071496,0.2503335,0.18331376,0.0653872,0.30426714,0.4714854
Sf,S,20191002_150628829003_991,20190304,0.1043,0.0533,0.076,0.0632,0.0899,0.091,0.1063,0.14,0.0934,0.1584,0.0721,0.0554,0.37795278,704.0036,0.0751357,0.29629633,0.19284806,0.0718592,0.32013202,0.59396756
Sf,S,20191002_150652583721_512,20190304,0.082,0.0701,0.0862,0.0656,0.0911,0.0885,0.1031,0.1188,0.0952,0.1268,0.0754,0.0581,0.28850326,703.6846,0.051367402,0.15902439,0.1840796,0.0452484,0.22348092,0.34037104
Sf,S,20191002_150652583721_512,20190304,0.0832,0.0627,0.09,0.0696,0.0926,0.0875,0.1043,0.128,0.0967,0.1298,0.0749,0.058,0.29554656,703.902,0.057408907,0.17431194,0.16295849,0.050525606,0.26170528,0.38244927
Sf,S,20191002_150652583721_512,20190304,0.0876,0.0661,0.0881,0.0638,0.0904,0.0861,0.0974,0.1198,0.0912,0.1424,0.078,0.061,0.30501089,703.05664,0.0533446,0.15247715,0.1767742,0.0466202,0.21132456,0.36316472
Sf,S,20191002_150652583721_512,20190304,0.089,0.0719,0.094,0.0662,0.0923,0.0885,0.1008,0.0969,0.0932,0.1454,0.078,0.0606,0.18822807,703.29645,0.028493397,0.015191223,0.16938516,0.0199692,0.10806175,0.18505123
Sf,S,20191002_151317358842_356,20190304,0.1215,0.0669,0.0801,0.0683,0.1121,0.1169,0.1208,0.1576,0.1099,0.1174,0.0608,0.048,0.39530766,702.3177,0.0907025,0.32604122,0.23344554,0.0847452,0.44322345,0.60748297
Sf,S,20191002_151332942097_653,20190304,0.1003,0.06,0.0736,0.0615,0.0961,0.0905,0.095,0.1154,0.0892,0.1333,0.071,0.0541,0.3046919,701.6519,0.052123502,0.221164,0.18380886,0.0492294,0.23819743,0.40344313
Sf,S,20191002_151523250935_482,20190304,0.1185,0.0729,0.0998,0.0747,0.1642,0.1471,0.1586,0.1942,0.1548,0.1372,0.0717,0.053,0.44440314,699.6539,0.120060995,0.32108843,0.34901962,0.109811395,0.46069953,0.6919514
Sf,S,20191002_151523250935_482,20190304,0.1073,0.0722,0.0874,0.0761,0.1246,0.1332,0.1425,0.1706,0.132,0.1074,0.0678,0.0522,0.38305634,702.9228,0.096052095,0.32248065,0.26862088,0.0901382,0.43120804,0.59210527
Sf,S,20191002_151523250935_482,20190304,0.0979,0.0761,0.089,0.067,0.0988,0.1145,0.1221,0.1054,0.1106,0.0889,0.0651,0.0528,0.22273783,704.3026,0.038755305,0.08436214,0.2454955,0.029908001,0.23636365,0.23258631
